rank,drug,score
1,Compound::DB00073,13.333157
2,Compound::DB00006,13.149067
3,Compound::DB00361,13.081741
4,Compound::DB00785,12.895241
5,Compound::DB00546,12.86763
6,Compound::DB00297,12.516942
7,Compound::DB00970,12.497654
8,Compound::DB00039,12.446999
9,Compound::DB00412,12.435107
10,Compound::DB00402,12.4041
11,Compound::DB00845,12.347299
12,Compound::DB00975,12.345018
13,Compound::DB00040,12.327597
14,Compound::DB00439,12.255051
15,Compound::DB00014,12.13232
16,Compound::DB01103,12.094679
17,Compound::DB14072,12.010677
18,Compound::DB00426,11.979303
19,Compound::DB00495,11.933701
20,Compound::DB00606,11.928358
21,Compound::DB05479,11.848967
22,Compound::DB00394,11.8060255
23,Compound::DB00136,11.707221
24,Compound::DB14512,11.706539
25,Compound::DB00278,11.692438
26,Compound::DB00107,11.612423
27,Compound::DB00768,11.512087
28,Compound::DB12831,11.491663
29,Compound::DB02587,11.4889765
30,Compound::DB00323,11.457506
31,Compound::DB14723,11.390839
32,Compound::DB00518,11.355806
33,Compound::DB01406,11.335858
34,Compound::DB00007,11.318413
35,Compound::DB00905,11.313223
36,Compound::DB01111,11.304832
37,Compound::DB13791,11.292531
38,Compound::DB06734,11.276537
39,Compound::DB00033,11.276407
40,Compound::DB00621,11.251558
41,Compound::DB00436,11.247274
42,Compound::DB00295,11.228511
43,Compound::DB00335,11.208273
44,Compound::DB00562,11.181625
45,Compound::DB04899,11.158165
46,Compound::DB08799,11.125093
47,Compound::DB01609,11.089111
48,Compound::DB01002,11.052202
49,Compound::DB12289,11.010202
50,Compound::DB01392,11.008234
51,Compound::DB00910,11.001854
52,Compound::DB00616,11.001204
53,Compound::DB12979,10.974124
54,Compound::DB01200,10.948167
55,Compound::DB00011,10.923279
56,Compound::DB00907,10.913508
57,Compound::DB13751,10.892487
58,Compound::DB00307,10.883671
59,Compound::DB12005,10.872934
60,Compound::DB00195,10.869835
61,Compound::DB00319,10.86958
62,Compound::DB00009,10.860812
63,Compound::DB00318,10.8564205
64,Compound::DB11603,10.84918
65,Compound::DB00338,10.846346
66,Compound::DB01023,10.822686
67,Compound::DB12013,10.822
68,Compound::DB00380,10.818476
69,Compound::DB00408,10.768163
70,Compound::DB00432,10.737825
71,Compound::DB00294,10.725035
72,Compound::DB08874,10.724541
73,Compound::DB04733,10.710388
74,Compound::DB06285,10.708903
75,Compound::DB04843,10.69976
76,Compound::DB00063,10.695289
77,Compound::DB11742,10.677977
78,Compound::DB00895,10.674567
79,Compound::DB07416,10.673039
80,Compound::DB00175,10.658487
81,Compound::DB01089,10.65756
82,Compound::DB00035,10.646145
83,Compound::DB04652,10.635079
84,Compound::DB00041,10.624142
85,Compound::DB01223,10.61569
86,Compound::DB00690,10.60981
87,Compound::DB05232,10.5972805
88,Compound::DB00708,10.57958
89,Compound::DB00760,10.554129
90,Compound::DB15274,10.541811
91,Compound::DB09291,10.531553
92,Compound::DB01183,10.517328
93,Compound::DB00484,10.512583
94,Compound::DB00691,10.5065365
95,Compound::DB00452,10.493085
96,Compound::DB00343,10.448519
97,Compound::DB01058,10.446347
98,Compound::DB00409,10.441413
99,Compound::DB03614,10.417709
100,Compound::DB01096,10.414379
